Month,Python: (United States),Java: (United States),JavaScript: (United States),Ruby: (United States),C#: (United States)
2014-07,13,32,18,2,11
2014-08,12,31,17,3,10
2014-09,14,34,17,2,10
2014-10,14,37,18,2,10
2014-11,13,35,17,2,9
2014-12,12,31,16,2,9
2015-01,13,33,16,2,9
2015-02,15,38,17,2,10
2015-03,15,36,18,2,10
2015-04,15,37,18,2,11
2015-05,14,32,18,2,10
2015-06,16,31,19,2,11
2015-07,16,28,20,3,11
2015-08,15,28,18,2,10
2015-09,17,31,19,2,10
2015-10,17,32,19,2,10
2015-11,16,31,17,2,9
2015-12,14,26,17,2,8
2016-01,15,22,16,2,8
2016-02,18,26,17,2,9
2016-03,19,25,18,2,9
2016-04,19,25,17,2,9
2016-05,17,21,17,2,9
2016-06,18,21,18,2,10
2016-07,17,19,16,2,8
2016-08,16,20,16,2,9
2016-09,19,23,16,2,8
2016-10,19,24,16,2,8
2016-11,19,22,17,2,8
2016-12,18,19,16,2,7
2017-01,20,21,17,2,8
2017-02,24,26,19,2,9
2017-03,24,25,20,2,9
2017-04,23,24,19,2,9
2017-05,22,21,19,2,9
2017-06,23,20,19,2,9
2017-07,21,19,18,2,8
2017-08,21,19,18,2,9
2017-09,23,23,17,2,8
2017-10,25,24,18,2,8
2017-11,23,22,17,2,8
2017-12,20,17,15,1,7
2018-01,22,19,17,1,7
2018-02,26,23,18,2,8
2018-03,25,21,18,2,8
2018-04,26,21,18,2,8
2018-05,23,19,18,1,8
2018-06,25,18,18,2,8
2018-07,24,17,17,1,8
2018-08,24,18,18,2,8
2018-09,26,21,16,1,7
2018-10,28,22,18,1,8
2018-11,26,19,16,1,7
2018-12,22,15,14,1,6
2019-01,25,18,16,1,7
2019-02,30,21,17,1,8
2019-03,28,19,16,1,8
2019-04,29,20,17,1,8
2019-05,26,17,16,1,8
2019-06,28,17,16,1,8
