Month,Python: (China),Java: (China),JavaScript: (China),Ruby: (China),C#: (China)
2013-01,5,13,8,1,6
2013-02,4,10,6,1,4
2013-03,5,15,8,1,5
2013-04,6,15,9,1,6
2013-05,6,15,9,1,6
2013-06,6,14,8,1,5
2013-07,6,15,9,1,6
2013-08,6,14,9,1,6
2013-09,6,15,9,1,6
2013-10,6,15,10,1,6
2013-11,7,18,12,1,7
2013-12,8,18,12,1,7
2014-01,7,15,10,1,6
2014-02,7,14,9,1,5
2014-03,9,18,12,1,7
2014-04,9,19,13,1,8
2014-05,9,18,12,1,7
2014-06,12,21,14,1,8
2014-07,21,36,21,2,11
2014-08,26,41,24,3,12
2014-09,26,45,27,3,13
2014-10,24,40,25,2,12
2014-11,32,52,32,3,16
2014-12,30,54,28,3,15
2015-01,47,71,41,3,20
2015-02,41,69,39,3,18
2015-03,44,72,41,3,21
2015-04,47,74,43,3,22
2015-05,44,72,40,3,19
2015-06,50,73,45,3,21
2015-07,61,74,51,3,18
2015-08,59,76,54,4,18
2015-09,60,72,52,3,17
2015-10,60,73,53,4,16
2015-11,73,77,65,4,17
2015-12,77,89,69,5,18
2016-01,61,61,45,1,15
2016-02,57,52,38,2,11
2016-03,77,74,51,2,15
2016-04,74,72,50,1,14
2016-05,73,69,53,1,14
2016-06,66,66,49,2,12
2016-07,77,71,54,2,16
2016-08,80,73,58,2,14
2016-09,73,66,51,2,14
2016-10,71,65,52,2,12
2016-11,90,74,66,2,12
2016-12,89,73,69,4,14
2017-01,79,61,58,3,12
2017-02,82,63,61,4,11
2017-03,100,73,64,4,13
2017-04,92,65,56,3,12
2017-05,88,65,55,3,12
2017-06,82,61,56,3,10
2017-07,92,59,57,3,12
2017-08,97,65,62,3,12
2017-09,90,63,58,3,10
2017-10,75,43,43,3,7
2017-11,91,54,48,3,7
2017-12,91,54,49,3,8
2018-01,93,51,52,3,8
2018-02,69,41,40,2,6
2018-03,91,56,47,3,8
2018-04,97,58,46,3,7
2018-05,96,54,47,3,8
2018-06,87,53,43,2,7
2018-07,98,56,50,2,8
2018-08,99,61,52,3,8
2018-09,92,58,45,2,7
2018-10,85,51,41,2,6
2018-11,94,56,45,2,7
2018-12,97,56,49,2,7
2019-01,92,52,46,2,7
2019-02,77,47,40,2,6
2019-03,95,58,46,2,7
2019-04,93,54,48,2,7
2019-05,86,53,42,2,6
2019-06,81,46,37,2,6
